Date,CL
2014-07-07,103.03
2014-07-08,102.79
2014-07-09,101.75
2014-07-10,102.4
2014-07-11,100.3
2014-07-14,100.48
2014-07-15,99.53
2014-07-16,100.6
2014-07-17,102.2
2014-07-18,101.95
2014-07-21,102.86
2014-07-22,99.49
2014-07-23,99.95
2014-07-24,99.12
2014-07-25,99.37
2014-07-28,98.66
2014-07-29,98.24
2014-07-30,97.56
2014-07-31,96.21
2014-08-01,95.79
2014-08-04,96.28
2014-08-05,95.78
2014-08-06,95.5
2014-08-07,95.99
2014-08-08,96.03
2014-08-11,96.31
2014-08-12,95.59
2014-08-13,95.92
2014-08-14,93.29
2014-08-15,94.39
2014-08-18,92.77
2014-08-19,92.1
2014-08-20,92.57
2014-08-21,93.04
2014-08-22,92.92
2014-08-25,92.68
2014-08-26,93.13
2014-08-27,93.06
2014-08-28,93.36
2014-08-29,94.37
2014-09-02,91.74
2014-09-03,94.16
2014-09-04,93.25
2014-09-05,92.4
2014-09-08,91.72
2014-09-09,91.45
2014-09-10,90.42
2014-09-11,91.36
2014-09-12,90.77
2014-09-15,91.37
2014-09-16,93.1
2014-09-17,92.5
2014-09-18,91.39
2014-09-19,91.14
2014-09-22,90.34
2014-09-23,90.91
2014-09-24,92.07
2014-09-25,91.78
2014-09-26,92.62
2014-09-29,93.49
2014-09-30,90.27
2014-10-01,89.74
2014-10-02,89.88
2014-10-03,88.67
2014-10-06,89.34
2014-10-07,87.98
2014-10-08,86.59
2014-10-09,85.05
2014-10-10,85.11
2014-10-13,84.98
2014-10-14,81.2
2014-10-15,80.94
2014-10-16,81.95
2014-10-17,82.06
2014-10-20,81.91
2014-10-21,82.49
2014-10-22,79.54
2014-10-23,81.23
2014-10-24,80.54
2014-10-27,80.34
2014-10-28,80.83
2014-10-29,81.68
2014-10-30,80.64
2014-10-31,80.31
2014-11-03,78.85
2014-11-04,77.24
2014-11-05,78.51
2014-11-06,77.82
2014-11-07,78.54
2014-11-10,77.44
2014-11-11,77.86
2014-11-12,77.13
2014-11-13,74.06
2014-11-14,75.8
2014-11-17,75.8
2014-11-18,74.86
2014-11-19,74.37
2014-11-20,75.82
2014-11-21,76.67
2014-11-24,75.97
2014-11-25,74.25
2014-11-26,73.82
2014-11-28,66.41
2014-12-01,69.21
2014-12-02,67.15
2014-12-03,67.56
2014-12-04,67.03
2014-12-05,66.08
2014-12-08,63.38
2014-12-09,64.15
2014-12-10,61.42
2014-12-11,60.52
2014-12-12,58.41
2014-12-15,56.64
2014-12-16,56.55
2014-12-17,57.13
2014-12-18,54.7
2014-12-19,57.48
2014-12-22,55.63
2014-12-23,57.48
2014-12-24,56.22
2014-12-26,55.13
2014-12-29,54.03
2014-12-30,54.53
2014-12-31,53.7
2015-01-02,53.11
2015-01-05,50.52
2015-01-06,48.46
2015-01-07,49.08
2015-01-08,49.28
2015-01-09,48.99
2015-01-12,46.76
2015-01-13,46.51
2015-01-14,48.96
2015-01-15,46.73
2015-01-16,49.13
2015-01-20,46.47
2015-01-21,47.78
2015-01-22,48.8
2015-01-23,48.34
2015-01-26,48.03
2015-01-27,49.0
2015-01-28,47.51
2015-01-29,47.61
2015-01-30,51.22
2015-02-02,52.72
2015-02-03,56.11
2015-02-04,51.89
2015-02-05,53.79
2015-02-06,54.86
2015-02-09,55.82
2015-02-10,53.43
2015-02-11,52.43
2015-02-12,54.87
2015-02-13,56.25
2015-02-17,56.76
2015-02-18,55.19
2015-02-19,54.22
2015-02-20,53.45
2015-02-23,52.56
2015-02-24,52.34
2015-02-25,54.31
2015-02-26,52.1
2015-02-27,53.84
2015-03-02,52.98
2015-03-03,54.07
2015-03-04,54.55
2015-03-05,53.99
2015-03-06,52.95
2015-03-09,52.95
2015-03-10,51.44
2015-03-11,51.59
2015-03-12,50.87
2015-03-13,48.84
2015-03-16,47.98
2015-03-17,47.06
2015-03-18,48.69
2015-03-19,47.4
2015-03-20,48.43
2015-03-23,49.15
2015-03-24,49.13
2015-03-25,50.78
2015-03-26,53.04
2015-03-27,50.5
2015-03-30,50.41
2015-03-31,49.34
2015-04-01,51.75
2015-04-02,50.6
2015-04-06,53.57
2015-04-07,55.23
2015-04-08,51.87
2015-04-09,52.49
2015-04-10,53.51
2015-04-13,53.74
2015-04-14,54.87
2015-04-15,57.69
2015-04-16,58.11
2015-04-17,57.32
2015-04-20,60.22
2015-04-21,59.19
2015-04-22,59.1
2015-04-23,60.67
2015-04-24,60.5
2015-04-27,60.18
2015-04-28,59.93
2015-04-29,61.03
2015-04-30,61.78
2015-05-01,61.58
2015-05-04,61.38
2015-05-05,62.54
2015-05-06,62.93
2015-05-07,60.76
2015-05-08,61.15
2015-05-11,61.2
2015-05-12,62.58
2015-05-13,62.32
2015-05-14,61.73
2015-05-15,61.36
2015-05-18,60.91
2015-05-19,58.8
2015-05-20,59.75
2015-05-21,61.39
2015-05-22,60.43
2015-05-26,58.75
2015-05-27,58.04
2015-05-28,58.2
2015-05-29,60.79
2015-06-01,60.62
2015-06-02,61.68
2015-06-03,60.14
2015-06-04,58.62
2015-06-05,59.89
2015-06-08,58.97
2015-06-09,60.98
