DATE,EAFE
2014-01-02,1894.74
2014-01-03,1898.6
2014-01-06,1893.19
2014-01-07,1895.14
2014-01-08,1903.06
2014-01-09,1892.69
2014-01-10,1910.51
2014-01-13,1915.64
2014-01-14,1907.23
2014-01-15,1916.3
2014-01-16,1916.4
2014-01-17,1919.9
2014-01-21,1918.62
2014-01-22,1923.41
2014-01-23,1916.36
2014-01-24,1881.51
2014-01-27,1858.23
2014-01-28,1860.91
2014-01-29,1864.69
2014-01-30,1847.18
2014-01-31,1837.64
2014-02-03,1820.39
2014-02-04,1796.86
2014-02-05,1807.92
2014-02-06,1832.15
2014-02-07,1851.35
2014-02-10,1861.55
2014-02-11,1882.74
2014-02-12,1890.26
2014-02-13,1889.48
2014-02-14,1896.46
2014-02-18,1920.57
2014-02-19,1921.95
2014-02-20,1908.55
2014-02-21,1924.84
2014-02-24,1932.82
2014-02-25,1938.47
2014-02-26,1925.86
2014-02-27,1923.34
2014-02-28,1935.88
2014-03-03,1898.87
2014-03-04,1922.69
2014-03-05,1925.66
2014-03-06,1940.23
2014-03-07,1927.45
2014-03-10,1916.73
2014-03-11,1917.99
2014-03-12,1898.2
2014-03-13,1889.43
2014-03-14,1867.14
2014-03-17,1878.4
2014-03-18,1890.8
2014-03-19,1888.12
2014-03-20,1864.01
2014-03-21,1868.31
2014-03-24,1861.84
2014-03-25,1877.71
2014-03-26,1892.99
2014-03-27,1892.86
2014-03-28,1904.13
2014-03-31,1915.69
2014-04-01,1923.44
2014-04-02,1926.03
2014-04-03,1924.32
2014-04-04,1932.01
2014-04-07,1914.93
2014-04-08,1914.95
2014-04-09,1918.08
2014-04-10,1919.8
2014-04-11,1896.21
2014-04-14,1892.48
2014-04-15,1882.24
2014-04-16,1904.98
2014-04-17,1914.1
2014-04-21,1912.14
2014-04-22,1927.0
2014-04-23,1926.31
2014-04-24,1927.38
2014-04-25,1920.47
2014-04-28,1918.51
2014-04-29,1930.98
2014-04-30,1936.67
2014-05-01,1943.58
2014-05-02,1941.23
2014-05-05,1939.04
2014-05-06,1944.72
2014-05-07,1931.81
2014-05-08,1944.74
2014-05-09,1931.84
2014-05-12,1937.35
2014-05-13,1944.89
2014-05-14,1948.13
2014-05-15,1937.72
2014-05-16,1933.3
2014-05-19,1928.63
2014-05-20,1924.1
2014-05-21,1925.9
2014-05-22,1934.6
2014-05-23,1938.56
2014-05-27,1950.82
2014-05-28,1950.03
2014-05-29,1955.68
2014-05-30,1956.61
2014-06-02,1960.05
2014-06-03,1956.49
2014-06-04,1956.66
2014-06-05,1961.57
2014-06-06,1973.22
2014-06-09,1974.15
2014-06-10,1973.02
2014-06-11,1969.74
2014-06-12,1971.83
2014-06-13,1967.38
2014-06-16,1963.72
2014-06-17,1962.86
2014-06-18,1967.26
2014-06-19,1992.69
2014-06-20,1983.81
2014-06-23,1980.0
2014-06-24,1976.09
2014-06-25,1963.74
2014-06-26,1963.27
2014-06-27,1966.2
2014-06-30,1972.12
2014-07-01,1986.04
2014-07-02,1990.23
2014-07-03,1995.49
2014-07-07,1981.35
2014-07-08,1964.55
2014-07-09,1963.23
2014-07-10,1943.93
2014-07-11,1945.31
2014-07-14,1962.21
2014-07-15,1954.0
2014-07-16,1968.84
2014-07-17,1954.86
2014-07-18,1951.72
2014-07-21,1946.79
2014-07-22,1961.82
2014-07-23,1964.86
2014-07-24,1969.28
2014-07-25,1960.0
2014-07-28,1959.79
2014-07-29,1960.95
2014-07-30,1949.32
2014-07-31,1932.66
2014-08-01,1918.14
2014-08-04,1912.21
2014-08-05,1905.08
2014-08-06,1890.97
2014-08-07,1883.08
2014-08-08,1870.16
2014-08-11,1891.55
2014-08-12,1889.77
2014-08-13,1897.81
2014-08-14,1904.96
2014-08-15,1900.52
2014-08-18,1913.59
2014-08-19,1919.99
2014-08-20,1915.17
2014-08-21,1924.4
2014-08-22,1913.58
2014-08-25,1925.99
2014-08-26,1933.4
2014-08-27,1936.08
2014-08-28,1922.93
2014-08-29,1924.62
2014-09-02,1923.36
2014-09-03,1937.3
2014-09-04,1932.59
2014-09-05,1925.58
2014-09-08,1917.07
2014-09-09,1905.6
2014-09-10,1903.36
2014-09-11,1903.85
2014-09-12,1900.57
2014-09-15,1897.3
2014-09-16,1892.01
2014-09-17,1895.61
2014-09-18,1903.37
2014-09-19,1901.0
2014-09-22,1888.37
2014-09-23,1876.31
2014-09-24,1877.13
2014-09-25,1866.41
2014-09-26,1856.03
2014-09-29,1848.19
2014-09-30,1846.08
2014-10-01,1830.55
2014-10-02,1799.52
2014-10-03,1792.34
2014-10-06,1807.95
2014-10-07,1798.85
2014-10-08,1787.01
2014-10-09,1786.21
2014-10-10,1748.97
2014-10-13,1755.84
2014-10-14,1746.9
2014-10-15,1726.59
2014-10-16,1714.64
2014-10-17,1737.51
2014-10-20,1747.88
2014-10-21,1763.08
2014-10-22,1775.06
2014-10-23,1776.57
2014-10-24,1778.62
2014-10-27,1781.35
2014-10-28,1795.37
2014-10-29,1805.63
2014-10-30,1798.61
2014-10-31,1818.35
2014-11-03,1795.74
2014-11-04,1805.73
2014-11-05,1811.71
2014-11-06,1804.1
2014-11-07,1798.65
2014-11-10,1810.5
2014-11-11,1814.16
2014-11-12,1808.76
2014-11-13,1812.6
2014-11-14,1813.19
2014-11-17,1805.14
2014-11-18,1826.15
2014-11-19,1820.89
2014-11-20,1815.14
2014-11-21,1831.2
2014-11-24,1832.96
2014-11-25,1842.26
2014-11-26,1848.79
2014-11-28,1839.73
2014-12-01,1834.49
2014-12-02,1834.33
2014-12-03,1831.41
2014-12-04,1830.28
2014-12-05,1832.11
2014-12-08,1824.74
2014-12-09,1811.38
2014-12-10,1797.34
2014-12-11,1787.39
2014-12-12,1767.09
2014-12-15,1729.49
2014-12-16,1752.52
2014-12-17,1740.95
2014-12-18,1767.33
2014-12-19,1782.04
2014-12-22,1789.81
2014-12-23,1784.58
2014-12-24,1790.61
2014-12-26,1789.92
2014-12-29,1793.46
2014-12-30,1778.04
2014-12-31,1774.89
2015-01-02,1762.42
2015-01-05,1726.41
2015-01-06,1705.93
2015-01-07,1697.01
2015-01-08,1733.84
2015-01-09,1729.52
2015-01-12,1734.47
2015-01-13,1745.96
2015-01-14,1727.98
2015-01-15,1744.97
2015-01-16,1741.9
2015-01-20,1767.6
2015-01-21,1778.67
2015-01-22,1780.11
2015-01-23,1787.71
2015-01-26,1792.5
2015-01-27,1807.62
2015-01-28,1802.63
2015-01-29,1792.03
2015-01-30,1782.7
2015-02-02,1791.11
2015-02-03,1805.81
2015-02-04,1818.96
2015-02-05,1820.75
2015-02-06,1812.12
2015-02-09,1805.67
2015-02-10,1808.94
2015-02-11,1798.26
2015-02-12,1822.82
2015-02-13,1839.35
2015-02-17,1841.54
2015-02-18,1854.76
2015-02-19,1863.88
2015-02-20,1866.73
2015-02-23,1874.42
2015-02-24,1880.66
2015-02-25,1884.08
2015-02-26,1880.83
2015-02-27,1886.26
2015-03-02,1879.48
2015-03-03,1870.03
2015-03-04,1862.02
2015-03-05,1865.56
2015-03-06,1848.59
2015-03-09,1838.61
2015-03-10,1807.49
2015-03-11,1807.92
2015-03-12,1821.87
2015-03-13,1815.84
2015-03-16,1832.5
2015-03-17,1831.17
2015-03-18,1845.08
2015-03-19,1851.01
2015-03-20,1887.31
2015-03-23,1900.84
2015-03-24,1900.9
2015-03-25,1900.12
2015-03-26,1874.56
2015-03-27,1869.83
2015-03-30,1871.18
2015-03-31,1849.34
2015-04-01,1851.87
2015-04-02,1870.36
2015-04-06,1890.81
2015-04-07,1895.36
2015-04-08,1893.81
2015-04-09,1895.75
2015-04-10,1901.28
2015-04-13,1894.35
2015-04-14,1909.49
2015-04-15,1904.4
2015-04-16,1912.32
2015-04-17,1896.06
2015-04-20,1897.83
2015-04-21,1911.14
2015-04-22,1910.67
2015-04-23,1916.35
2015-04-24,1931.94
2015-04-27,1948.2
2015-04-28,1945.58
2015-04-29,1933.97
2015-04-30,1918.4
2015-05-01,1913.01
2015-05-04,1913.44
2015-05-05,1899.83
2015-05-06,1911.03
2015-05-07,1893.01
2015-05-08,1925.44
2015-05-11,1923.63
2015-05-12,1920.31
2015-05-13,1935.97
2015-05-14,1942.47
2015-05-15,1949.49
2015-05-18,1946.75
2015-05-19,1936.2
2015-05-20,1938.4
2015-05-21,1948.41
2015-05-22,1935.25
2015-05-26,1906.44
2015-05-27,1915.7
2015-05-28,1913.47
2015-05-29,1898.98
2015-06-01,1891.21
2015-06-02,1903.56
2015-06-03,1917.15
2015-06-04,1903.57
2015-06-05,1865.8
2015-06-08,1863.69
2015-06-09,1858.46
2015-06-10,1892.67
2015-06-11,1895.53
2015-06-12,1890.67
2015-06-15,1867.94
2015-06-16,1870.17
2015-06-17,1860.35
2015-06-18,1881.39
2015-06-19,1882.91
2015-06-22,1922.7
2015-06-23,1919.64
2015-06-24,1913.5
2015-06-25,1910.1
2015-06-26,1898.82
2015-06-29,1855.33
2015-06-30,1842.46
2015-07-01,1856.1
2015-07-02,1856.46
2015-07-06,1819.88
2015-07-07,1792.57
2015-07-08,1791.73
2015-07-09,1816.19
2015-07-10,1851.94
2015-07-13,1862.96
2015-07-14,1877.93
2015-07-15,1878.51
2015-07-16,1893.99
2015-07-17,1889.53
2015-07-20,1893.38
2015-07-21,1894.42
2015-07-22,1872.35
2015-07-23,1877.14
2015-07-24,1861.03
2015-07-27,1846.85
2015-07-28,1848.58
2015-07-29,1861.95
2015-07-30,1858.97
2015-07-31,1879.75
2015-08-03,1877.37
2015-08-04,1876.74
2015-08-05,1878.5
2015-08-06,1875.28
2015-08-07,1868.64
2015-08-10,1883.89
2015-08-11,1865.51
2015-08-12,1842.68
2015-08-13,1845.58
2015-08-14,1840.94
2015-08-17,1840.93
2015-08-18,1835.21
2015-08-19,1811.33
2015-08-20,1795.2
2015-08-21,1756.65
2015-08-24,1696.81
2015-08-25,1714.3
2015-08-26,1706.17
2015-08-27,1731.13
2015-08-28,1747.84
2015-08-31,1736.81
2015-09-01,1694.6
2015-09-02,1689.9
2015-09-03,1704.05
2015-09-04,1671.12
2015-09-08,1691.38
2015-09-09,1730.59
2015-09-10,1710.23
2015-09-11,1704.82
2015-09-14,1697.79
2015-09-15,1701.52
2015-09-16,1728.45
2015-09-17,1731.97
2015-09-18,1713.96
2015-09-21,1698.97
2015-09-22,1658.34
2015-09-23,1654.31
2015-09-24,1639.29
2015-09-25,1660.74
2015-09-28,1638.09
2015-09-29,1609.5
2015-09-30,1644.4
2015-10-01,1654.98
2015-10-02,1668.87
2015-10-05,1702.14
2015-10-06,1719.73
2015-10-07,1729.51
2015-10-08,1733.56
2015-10-09,1758.17
2015-10-12,1758.07
2015-10-13,1741.44
2015-10-14,1731.71
2015-10-15,1753.89
2015-10-16,1763.18
2015-10-19,1754.61
2015-10-20,1751.2
2015-10-21,1758.67
2015-10-22,1759.62
2015-10-23,1777.37
2015-10-26,1779.25
2015-10-27,1764.2
2015-10-28,1776.71
2015-10-29,1759.41
2015-10-30,1771.66
2015-11-02,1763.33
2015-11-03,1761.3
2015-11-04,1761.35
2015-11-05,1758.31
2015-11-06,1743.48
2015-11-09,1735.72
2015-11-10,1729.29
2015-11-11,1743.29
2015-11-12,1728.63
2015-11-13,1712.18
