Date,Price
2014-01-02,1225.9
2014-01-03,1239.4
2014-01-06,1238.7
2014-01-07,1230.2
2014-01-08,1226.1
2014-01-09,1229.9
2014-01-10,1247.5
2014-01-13,1251.8
2014-01-14,1246.0
2014-01-15,1238.8
2014-01-16,1240.6
2014-01-17,1252.3
2014-01-20,1252.3
2014-01-21,1242.0
2014-01-22,1238.7
2014-01-23,1262.5
2014-01-24,1264.5
2014-01-27,1263.5
2014-01-28,1250.5
2014-01-29,1262.2
2014-01-30,1242.5
2014-01-31,1239.8
2014-02-03,1259.9
2014-02-04,1251.2
2014-02-05,1256.9
2014-02-06,1257.2
2014-02-07,1262.9
2014-02-10,1274.7
2014-02-11,1289.8
2014-02-12,1295.0
2014-02-13,1300.1
2014-02-14,1318.6
2014-02-17,1318.6
2014-02-18,1324.4
2014-02-19,1320.4
2014-02-20,1316.9
2014-02-21,1323.6
2014-02-24,1338.0
2014-02-25,1342.9
2014-02-26,1328.3
2014-02-27,1332.1
2014-02-28,1321.9
2014-03-03,1350.6
2014-03-04,1338.2
2014-03-05,1340.6
2014-03-06,1352.1
2014-03-07,1338.5
2014-03-10,1341.8
2014-03-11,1347.0
2014-03-12,1370.7
2014-03-13,1372.6
2014-03-14,1379.2
2014-03-17,1373.1
2014-03-18,1359.1
2014-03-19,1341.5
2014-03-20,1330.7
2014-03-21,1336.0
2014-03-24,1311.1
2014-03-25,1311.4
2014-03-26,1303.4
2014-03-27,1294.8
2014-03-28,1294.3
2014-03-31,1283.8
2014-04-01,1280.0
2014-04-02,1290.8
2014-04-03,1284.6
2014-04-04,1303.5
2014-04-07,1298.3
2014-04-08,1309.1
2014-04-09,1305.9
2014-04-10,1320.5
2014-04-11,1319.0
2014-04-14,1327.5
2014-04-15,1300.3
2014-04-16,1303.5
2014-04-17,1293.9
2014-04-18,1293.9
2014-04-21,1288.5
2014-04-22,1281.1
2014-04-23,1284.6
2014-04-24,1290.6
2014-04-25,1300.8
2014-04-28,1299.0
2014-04-29,1296.3
2014-04-30,1295.9
2014-05-01,1283.4
2014-05-02,1302.9
2014-05-05,1309.3
2014-05-06,1308.6
2014-05-07,1288.9
2014-05-08,1287.7
2014-05-09,1287.6
2014-05-12,1295.8
2014-05-13,1294.8
2014-05-14,1305.9
2014-05-15,1293.6
2014-05-16,1293.4
2014-05-19,1293.8
2014-05-20,1294.6
2014-05-21,1288.1
2014-05-22,1295.0
2014-05-23,1291.7
2014-05-26,1291.7
2014-05-27,1266.0
2014-05-28,1260.0
2014-05-29,1257.5
2014-05-30,1246.3
2014-06-02,1244.3
2014-06-03,1244.8
2014-06-04,1244.6
2014-06-05,1253.6
