,symbol,date,exdate,cp_flag,best_bid,strike_price,best_offer,impl_volatility,delta,gamma,vega,theta
0,SPY 150117C189000,2015-01-15,2015-01-17,C,9.89,189000.0,10.23,0.48763,0.979189,0.009868,0.521784,-46.72328
1,SPY 150117C165000,2015-01-15,2015-01-17,C,33.85,165000.0,34.25,1.445961,0.994059,0.001121,0.17615,-46.62826
2,SPY 150117C166000,2015-01-15,2015-01-17,C,32.85,166000.0,33.25,1.404166,0.993895,0.001182,0.180408,-46.3871
3,SPY 150117C167000,2015-01-15,2015-01-17,C,31.85,167000.0,32.25,1.362521,0.993722,0.001249,0.184861,-46.13904
4,SPY 150117C168000,2015-01-15,2015-01-17,C,30.85,168000.0,31.25,1.32102,0.99354,0.001321,0.189526,-45.88379
5,SPY 150117C169000,2015-01-15,2015-01-17,C,29.85,169000.0,30.25,1.279657,0.993347,0.0014,0.194426,-45.62082
6,SPY 150117C170000,2015-01-15,2015-01-17,C,28.87,170000.0,29.2,1.143483,0.996142,0.000964,0.119936,-25.20645
7,SPY 150117C170500,2015-01-15,2015-01-17,C,28.37,170500.0,28.73,1.217855,0.993036,0.001531,0.202276,-45.21075
8,SPY 150117C171000,2015-01-15,2015-01-17,C,27.87,171000.0,28.26,1.260293,0.990209,0.001996,0.273447,-63.01423
9,SPY 150117C172000,2015-01-15,2015-01-17,C,26.86,172000.0,27.22,1.101872,0.994763,0.001315,0.157368,-31.84888
10,SPY 150117C173000,2015-01-15,2015-01-17,C,25.84,173000.0,26.24,1.06256,0.994584,0.001405,0.162185,-31.64438
11,SPY 150117C174000,2015-01-15,2015-01-17,C,24.86,174000.0,25.21,0.990169,0.995593,0.001255,0.134833,-24.59553
12,SPY 150117C174500,2015-01-15,2015-01-17,C,24.35,174500.0,24.71,0.928878,0.996831,0.000995,0.100572,-17.23947
13,SPY 150117C175000,2015-01-15,2015-01-17,C,23.86,175000.0,24.25,1.054464,0.990837,0.002251,0.25762,-49.80928
14,SPY 150117C175500,2015-01-15,2015-01-17,C,23.34,175500.0,23.72,0.892226,0.996711,0.001071,0.104028,-17.12323
15,SPY 150117C176000,2015-01-15,2015-01-17,C,22.84,176000.0,23.24,0.945204,0.993968,0.001738,0.178553,-30.9837
16,SPY 150117C176500,2015-01-15,2015-01-17,C,22.34,176500.0,22.74,0.925719,0.993851,0.001805,0.181596,-30.86593
17,SPY 150117C177000,2015-01-15,2015-01-17,C,21.85,177000.0,22.21,0.837413,0.996514,0.001202,0.109654,-16.94038
18,SPY 150117C177500,2015-01-15,2015-01-17,C,21.34,177500.0,21.74,0.886803,0.993603,0.001951,0.187992,-30.62303
19,SPY 150117C178000,2015-01-15,2015-01-17,C,20.84,178000.0,21.22,0.800971,0.996368,0.001304,0.113737,-16.81231
20,SPY 150117C178500,2015-01-15,2015-01-17,C,20.34,178500.0,20.72,0.782777,0.996291,0.00136,0.11589,-16.74627
21,SPY 150117C179000,2015-01-15,2015-01-17,C,19.84,179000.0,20.22,0.764599,0.99621,0.00142,0.118125,-16.6788
22,SPY 150117C179500,2015-01-15,2015-01-17,C,19.36,179500.0,19.72,0.809158,0.993042,0.002303,0.202234,-30.10459
23,SPY 150117C180000,2015-01-15,2015-01-17,C,18.87,180000.0,19.22,0.812141,0.991465,0.002746,0.241673,-36.11946
24,SPY 150117C180500,2015-01-15,2015-01-17,C,18.37,180500.0,18.76,0.857437,0.986081,0.00398,0.37024,-58.19564
25,SPY 150117C181000,2015-01-15,2015-01-17,C,17.87,181000.0,18.23,0.791105,0.989658,0.003335,0.286892,-41.57897
26,SPY 150117C181500,2015-01-15,2015-01-17,C,17.35,181500.0,17.73,0.731689,0.99237,0.002762,0.219021,-29.53454
27,SPY 150117C182000,2015-01-15,2015-01-17,C,16.87,182000.0,17.22,0.732923,0.990627,0.003304,0.262765,-35.39063
28,SPY 150117C182500,2015-01-15,2015-01-17,C,16.35,182500.0,16.73,0.692987,0.991982,0.003047,0.228713,-29.22615
29,SPY 150117C183000,2015-01-15,2015-01-17,C,15.86,183000.0,16.22,0.673636,0.991772,0.003207,0.233964,-29.0652
30,SPY 150117C183500,2015-01-15,2015-01-17,C,15.37,183500.0,15.74,0.704981,0.986774,0.004632,0.354448,-45.83929
31,SPY 150117C184000,2015-01-15,2015-01-17,C,14.84,184000.0,15.24,0.634923,0.991315,0.003567,0.245407,-28.72814
32,SPY 150117C184500,2015-01-15,2015-01-17,C,14.37,184500.0,14.74,0.66388,0.986034,0.005155,0.371308,-45.2466
33,SPY 150117C185000,2015-01-15,2015-01-17,C,13.85,185000.0,14.25,0.629481,0.987271,0.005019,0.343135,-39.6334
34,SPY 150117C185500,2015-01-15,2015-01-17,C,13.39,185500.0,13.74,0.646205,0.982024,0.006575,0.461664,-54.6272
35,SPY 150117C186000,2015-01-15,2015-01-17,C,12.89,186000.0,13.24,0.624984,0.981476,0.006975,0.473548,-54.20517
36,SPY 150117C186500,2015-01-15,2015-01-17,C,12.39,186500.0,12.73,0.593052,0.982542,0.006988,0.450292,-48.92683
37,SPY 150117C187000,2015-01-15,2015-01-17,C,11.96,187000.0,12.22,0.625706,0.972514,0.009715,0.659906,-75.57661
38,SPY 150117C187500,2015-01-15,2015-01-17,C,11.39,187500.0,11.74,0.561122,0.979593,0.008434,0.513351,-52.84454
39,SPY 150117C188000,2015-01-15,2015-01-17,C,10.89,188000.0,11.23,0.529937,0.980684,0.008524,0.490477,-47.65878
40,SPY 150117C188500,2015-01-15,2015-01-17,C,10.39,188500.0,10.74,0.518335,0.97809,0.009696,0.544454,-51.84471
41,SPY 150117C209000,2015-01-15,2015-01-17,C,0.0,209000.0,0.01,0.355115,0.004347,0.003455,0.133427,-8.630207
42,SPY 150117C209500,2015-01-15,2015-01-17,C,0.0,209500.0,0.01,0.370551,0.004182,0.003198,0.128971,-8.69868
43,SPY 150117C210000,2015-01-15,2015-01-17,C,0.0,210000.0,0.01,0.385886,0.004031,0.002972,0.12484,-8.764245
44,SPY 150117C210500,2015-01-15,2015-01-17,C,0.0,210500.0,0.01,0.401124,0.003891,0.00277,0.120988,-8.827112
45,SPY 150117C211000,2015-01-15,2015-01-17,C,0.0,211000.0,0.01,0.41627,0.003762,0.00259,0.117382,-8.887527
46,SPY 150117C211500,2015-01-15,2015-01-17,C,0.0,211500.0,0.01,0.431324,0.003642,0.002428,0.113997,-8.945658
47,SPY 150117C212000,2015-01-15,2015-01-17,C,0.0,212000.0,0.01,0.44629,0.00353,0.002282,0.110813,-9.001656
48,SPY 150117C212500,2015-01-15,2015-01-17,C,0.0,212500.0,0.01,0.461171,0.003427,0.00215,0.107816,-9.055663
49,SPY 150117C213000,2015-01-15,2015-01-17,C,0.0,213000.0,0.01,0.475968,0.003329,0.00203,0.104995,-9.107773
50,SPY 150117C213500,2015-01-15,2015-01-17,C,0.0,213500.0,0.01,0.490685,0.003238,0.00192,0.102337,-9.158124
51,SPY 150117C214000,2015-01-15,2015-01-17,C,0.0,214000.0,0.01,0.505322,0.003153,0.00182,0.099834,-9.206808
52,SPY 150117C214500,2015-01-15,2015-01-17,C,0.0,214500.0,0.01,0.519883,0.003072,0.001729,0.097475,-9.253923
53,SPY 150117C215000,2015-01-15,2015-01-17,C,0.0,215000.0,0.01,0.53437,0.002996,0.001644,0.095252,-9.299561
54,SPY 150117C215500,2015-01-15,2015-01-17,C,0.0,215500.0,0.01,0.548783,0.002924,0.001566,0.093154,-9.343806
55,SPY 150117C216000,2015-01-15,2015-01-17,C,0.0,216000.0,0.01,0.563126,0.002856,0.001495,0.091174,-9.38674
56,SPY 150117C217000,2015-01-15,2015-01-17,C,0.0,217000.0,0.01,0.591607,0.002731,0.001366,0.087529,-9.468979
57,SPY 150117C217500,2015-01-15,2015-01-17,C,0.0,217500.0,0.01,0.605748,0.002672,0.001308,0.085848,-9.508422
58,SPY 150117C218000,2015-01-15,2015-01-17,C,0.0,218000.0,0.01,0.619825,0.002617,0.001255,0.084251,-9.546847
59,SPY 150117C219000,2015-01-15,2015-01-17,C,0.0,219000.0,0.01,0.647792,0.002514,0.001158,0.081279,-9.620793
60,SPY 150117C220000,2015-01-15,2015-01-17,C,0.0,220000.0,0.01,0.675517,0.002419,0.001072,0.078565,-9.691264
61,SPY 150117C221000,2015-01-15,2015-01-17,C,0.0,221000.0,0.01,0.70301,0.002333,0.000997,0.076067,-9.758603
62,SPY 150117C222000,2015-01-15,2015-01-17,C,0.0,222000.0,0.01,0.730279,0.002253,0.00093,0.073753,-9.823105
63,SPY 150117C222500,2015-01-15,2015-01-17,C,0.0,222500.0,0.01,0.743831,0.002216,0.000899,0.072656,-9.85437
64,SPY 150117C223000,2015-01-15,2015-01-17,C,0.0,223000.0,0.01,0.757329,0.00218,0.00087,0.071597,-9.885015
65,SPY 150117C224000,2015-01-15,2015-01-17,C,0.0,224000.0,0.01,0.784168,0.002112,0.000817,0.069579,-9.944546
66,SPY 150117C225000,2015-01-15,2015-01-17,C,0.0,225000.0,0.01,0.810801,0.002048,0.000768,0.067686,-10.00189
67,SPY 150117C227500,2015-01-15,2015-01-17,C,0.0,227500.0,0.01,0.876516,0.001908,0.000666,0.063424,-10.13653
68,SPY 150117C230000,2015-01-15,2015-01-17,C,0.0,230000.0,0.01,0.941048,0.001788,0.000585,0.059741,-10.2603
69,SPY 150117C232500,2015-01-15,2015-01-17,C,0.0,232500.0,0.01,1.004465,0.001685,0.000519,0.056547,-10.37475
70,SPY 150117C235000,2015-01-15,2015-01-17,C,0.0,235000.0,0.01,1.066826,0.001595,0.000465,0.053767,-10.48114
71,SPY 150117C237500,2015-01-15,2015-01-17,C,0.0,237500.0,0.01,1.128186,0.001516,0.00042,0.051332,-10.58058
72,SPY 150117C240000,2015-01-15,2015-01-17,C,0.0,240000.0,0.01,1.188594,0.001445,0.000381,0.049181,-10.67397
73,SPY 150117C242500,2015-01-15,2015-01-17,C,0.0,242500.0,0.01,1.248093,0.001382,0.000349,0.047262,-10.76212
74,SPY 150117C245000,2015-01-15,2015-01-17,C,0.0,245000.0,0.01,1.306722,0.001326,0.000321,0.045531,-10.84566
