Date,Price
2014-01-02,20.128
2014-01-03,20.211
2014-01-06,20.103
2014-01-07,19.787
2014-01-08,19.539
2014-01-09,19.683
2014-01-10,20.223
2014-01-13,20.385
2014-01-14,20.282
2014-01-15,20.134
2014-01-16,20.054
2014-01-17,20.304
2014-01-20,20.304
2014-01-21,19.87
2014-01-22,19.839
2014-01-23,20.01
2014-01-24,19.765
2014-01-27,19.793
2014-01-28,19.503
2014-01-29,19.552
2014-01-30,19.126
2014-01-31,19.12
2014-02-03,19.409
2014-02-04,19.422
2014-02-05,19.805
2014-02-06,19.928
2014-02-07,19.936
2014-02-10,20.112
2014-02-11,20.153
2014-02-12,20.341
2014-02-13,20.395
2014-02-14,21.421
2014-02-17,21.421
2014-02-18,21.898
2014-02-19,21.85
2014-02-20,21.684
2014-02-21,21.782
2014-02-24,22.051
2014-02-25,22.031
2014-02-26,21.319
2014-02-27,21.383
2014-02-28,21.273
2014-03-03,21.517
2014-03-04,21.254
2014-03-05,21.303
2014-03-06,21.606
2014-03-07,20.959
2014-03-10,20.943
2014-03-11,20.848
2014-03-12,21.393
2014-03-13,21.232
2014-03-14,21.448
2014-03-17,21.31
2014-03-18,20.896
2014-03-19,20.86
2014-03-20,20.464
2014-03-21,20.344
2014-03-24,20.101
2014-03-25,20.014
2014-03-26,19.815
2014-03-27,19.743
2014-03-28,19.826
2014-03-31,19.789
2014-04-01,19.725
2014-04-02,20.087
2014-04-03,19.843
2014-04-04,19.985
2014-04-07,19.946
2014-04-08,20.091
2014-04-09,19.803
2014-04-10,20.125
2014-04-11,19.979
2014-04-14,20.043
2014-04-15,19.52
2014-04-16,19.665
2014-04-17,19.629
2014-04-18,19.629
2014-04-21,19.381
2014-04-22,19.388
2014-04-23,19.467
2014-04-24,19.714
2014-04-25,19.718
2014-04-28,19.619
2014-04-29,19.538
2014-04-30,19.174
2014-05-01,19.043
2014-05-02,19.546
2014-05-05,19.571
2014-05-06,19.645
2014-05-07,19.342
2014-05-08,19.138
2014-05-09,19.121
2014-05-12,19.543
2014-05-13,19.547
2014-05-14,19.775
2014-05-15,19.484
2014-05-16,19.329
2014-05-19,19.353
2014-05-20,19.399
2014-05-21,19.338
2014-05-22,19.52
2014-05-23,19.418
2014-05-26,19.418
2014-05-27,19.102
2014-05-28,19.094
2014-05-29,19.052
2014-05-30,18.719
2014-06-02,18.776
2014-06-03,18.8
2014-06-04,18.83
2014-06-05,19.122
2014-06-06,19.031
2014-06-09,19.108
2014-06-10,19.21
2014-06-11,19.213
2014-06-12,19.573
2014-06-13,19.699
2014-06-16,19.759
2014-06-17,19.776
2014-06-18,19.821
2014-06-19,20.692
2014-06-20,20.994
2014-06-23,20.964
2014-06-24,21.097
2014-06-25,21.171
2014-06-26,21.162
2014-06-27,21.134
2014-06-30,21.056
2014-07-01,21.117
2014-07-02,21.302
2014-07-03,21.137
2014-07-04,21.137
2014-07-07,21.014
2014-07-08,21.013
2014-07-09,21.068
2014-07-10,21.508
2014-07-11,21.461
2014-07-14,20.914
2014-07-15,20.889
2014-07-16,20.775
2014-07-17,21.134
2014-07-18,20.886
2014-07-21,21.012
2014-07-22,21.008
2014-07-23,20.995
2014-07-24,20.415
2014-07-25,20.636
2014-07-28,20.567
2014-07-29,20.583
2014-07-30,20.597
2014-07-31,20.412
2014-08-01,20.371
2014-08-04,20.233
2014-08-05,19.833
2014-08-06,20.024
2014-08-07,19.99
2014-08-08,19.941
2014-08-11,20.095
2014-08-12,19.905
2014-08-13,19.845
2014-08-14,19.906
2014-08-15,19.525
2014-08-18,19.635
2014-08-19,19.412
2014-08-20,19.497
2014-08-21,19.415
2014-08-22,19.386
2014-08-25,19.358
2014-08-26,19.459
2014-08-27,19.475
2014-08-28,19.609
2014-08-29,19.492
2014-09-01,19.492
2014-09-02,19.152
2014-09-03,19.189
2014-09-04,19.138
2014-09-05,19.156
2014-09-08,18.961
2014-09-09,18.92
2014-09-10,18.926
2014-09-11,18.599
2014-09-12,18.606
2014-09-15,18.62
2014-09-16,18.721
2014-09-17,18.734
2014-09-18,18.517
2014-09-19,17.844
2014-09-22,17.774
2014-09-23,17.779
2014-09-24,17.702
2014-09-25,17.438
2014-09-26,17.537
2014-09-29,17.567
2014-09-30,17.057
2014-10-01,17.259
2014-10-02,17.047
2014-10-03,16.826
2014-10-06,17.225
2014-10-07,17.24
2014-10-08,17.064
2014-10-09,17.418
2014-10-10,17.303
2014-10-13,17.345
2014-10-14,17.403
2014-10-15,17.464
2014-10-16,17.437
2014-10-17,17.331
2014-10-20,17.354
2014-10-21,17.549
2014-10-22,17.231
2014-10-23,17.158
2014-10-24,17.182
