DATE,SPY,SPY Volume
2014-01-02,182.919998,119636900
2014-01-03,182.889999,81390600
2014-01-06,182.360001,108028200
2014-01-07,183.479996,86144200
2014-01-08,183.520004,96582300
2014-01-09,183.639999,90683400
2014-01-10,184.139999,102026400
2014-01-13,181.690002,149892000
2014-01-14,183.669998,105016100
2014-01-15,184.660004,98525800
2014-01-16,184.419998,72290600
2014-01-17,183.639999,107848700
2014-01-21,184.179993,88621200
2014-01-22,184.300003,61270900
2014-01-23,182.789993,132496900
2014-01-24,178.889999,208677100
2014-01-27,178.009995,180843100
2014-01-28,179.070007,110463200
2014-01-29,177.350006,216597300
2014-01-30,179.229996,118938100
2014-01-31,178.179993,194677900
2014-02-03,174.169998,254837100
2014-02-04,175.389999,165012400
2014-02-05,175.169998,164230500
2014-02-06,177.479996,132877600
2014-02-07,179.679993,170787200
2014-02-10,180.009995,92218800
2014-02-11,181.979996,117814100
2014-02-12,182.070007,94717700
2014-02-13,183.009995,100542200
2014-02-14,184.020004,96498400
2014-02-18,184.240005,80460900
2014-02-19,183.020004,126524300
2014-02-20,184.100006,104998100
2014-02-21,183.889999,118116400
2014-02-24,184.910004,114063900
2014-02-25,184.839996,117085000
2014-02-26,184.850006,98677200
2014-02-27,185.820007,93880800
2014-02-28,186.289993,150842000
2014-03-03,184.979996,167748500
2014-03-04,187.580002,167545900
2014-03-05,187.75,88376900
2014-03-06,188.179993,82516500
2014-03-07,188.259995,114513500
2014-03-10,188.160004,74939200
2014-03-11,187.229996,99009100
2014-03-12,187.279999,104824400
2014-03-13,185.179993,155014300
2014-03-14,184.660004,153919600
2014-03-17,186.330002,98359500
2014-03-18,187.660004,101804600
2014-03-19,186.660004,176267300
2014-03-20,187.75,117241000
2014-03-21,186.199997,163128000
2014-03-24,185.429993,121411000
2014-03-25,186.309998,103852000
2014-03-26,184.970001,119843000
2014-03-27,184.580002,142383000
2014-03-28,185.490005,101642000
2014-03-31,187.009995,99745000
2014-04-01,188.25,89193000
2014-04-02,188.880005,78774000
2014-04-03,188.630005,77435000
2014-04-04,186.399994,169381000
2014-04-07,184.339996,140803000
2014-04-08,185.100006,112660000
2014-04-09,187.089996,100254000
2014-04-10,183.160004,172959000
2014-04-11,181.509995,167251000
2014-04-14,182.940002,132382000
2014-04-15,184.199997,157093000
2014-04-16,186.130005,105197000
2014-04-17,186.389999,105255000
2014-04-21,187.039993,68329000
2014-04-22,187.889999,85790000
2014-04-23,187.449997,73869000
2014-04-24,187.830002,88170000
2014-04-25,186.289993,100380000
2014-04-28,186.880005,135121000
2014-04-29,187.75,84098000
2014-04-30,188.309998,101508000
2014-05-01,188.330002,93019000
2014-05-02,188.059998,98122000
2014-05-05,188.419998,75883000
2014-05-06,186.779999,85454000
2014-05-07,187.880005,106500000
2014-05-08,187.679993,93618000
2014-05-09,187.960007,83679000
2014-05-12,189.789993,86940000
2014-05-13,189.960007,66454000
2014-05-14,189.059998,72367000
2014-05-15,187.399994,154956000
2014-05-16,188.050003,97458000
2014-05-19,188.740005,63839000
2014-05-20,187.550003,111644000
2014-05-21,189.130005,89093000
2014-05-22,189.589996,61549000
2014-05-23,190.350006,61092800
2014-05-27,191.520004,72010000
2014-05-28,191.380005,66723000
2014-05-29,192.369995,64377000
2014-05-30,192.679993,76316000
2014-06-02,192.899994,64656000
2014-06-03,192.800003,65047000
2014-06-04,193.190002,55529000
2014-06-05,194.449997,92103000
2014-06-06,195.380005,78696000
2014-06-09,195.580002,65119000
2014-06-10,195.600006,57129000
2014-06-11,194.919998,68772000
2014-06-12,193.539993,106350000
2014-06-13,194.130005,82017000
2014-06-16,194.289993,87424000
2014-06-17,194.830002,84834000
2014-06-18,196.259995,105267000
2014-06-19,196.479996,85929000
2014-06-20,195.940002,100587000
2014-06-23,195.880005,70611000
2014-06-24,194.699997,96237000
2014-06-25,195.580002,82782000
2014-06-26,195.440002,84312000
2014-06-27,195.820007,71445100
2014-06-30,195.720001,70201200
2014-07-01,197.029999,90470000
2014-07-02,197.229996,52475000
2014-07-03,198.199997,52938800
2014-07-07,197.509995,61696000
2014-07-08,196.240005,108143000
2014-07-09,197.119995,72992000
2014-07-10,196.339996,99040000
2014-07-11,196.610001,64243000
2014-07-14,197.600006,58658000
2014-07-15,197.229996,111307000
2014-07-16,197.960007,79986400
2014-07-17,195.71,145398000
2014-07-18,197.710007,124330000
2014-07-21,197.339996,67592000
2014-07-22,198.199997,67678000
2014-07-23,198.639999,65612000
2014-07-24,198.649994,56888000
2014-07-25,197.720001,76837000
2014-07-28,197.800003,69259000
2014-07-29,196.949997,80466000
2014-07-30,196.979996,104222000
2014-07-31,193.089996,183479000
2014-08-01,192.5,189261000
2014-08-04,193.889999,91340000
2014-08-05,192.009995,152690000
2014-08-06,192.070007,94818000
2014-08-07,191.029999,135733000
2014-08-08,193.240005,117014000
2014-08-11,193.800003,74544000
2014-08-12,193.529999,73632000
2014-08-13,194.839996,69047000
2014-08-14,195.759995,57371000
2014-08-15,195.720001,139951000
2014-08-18,197.360001,75424000
2014-08-19,198.389999,59135000
2014-08-20,198.919998,72763000
2014-08-21,199.5,67791000
2014-08-22,199.190002,76107000
2014-08-25,200.199997,63855000
2014-08-26,200.330002,47298000
2014-08-27,200.25,47874000
2014-08-28,200.139999,58330000
2014-08-29,200.710007,65907000
2014-09-02,200.610001,72426000
2014-09-03,200.5,57462000
2014-09-04,200.210007,85236000
2014-09-05,201.110001,102177000
2014-09-08,200.589996,64146000
2014-09-09,199.320007,88591000
2014-09-10,200.070007,67251000
2014-09-11,200.300003,66774400
2014-09-12,199.130005,117409300
2014-09-15,198.979996,76401000
2014-09-16,200.479996,116201000
2014-09-17,200.75,151266000
2014-09-18,201.820007,94990000
2014-09-19,200.699997,121649000
2014-09-22,199.149994,125553000
2014-09-23,198.009995,111393000
2014-09-24,199.559998,107276000
2014-09-25,196.339996,150300000
2014-09-26,197.899994,103547000
2014-09-29,197.539993,95112000
2014-09-30,197.020004,131302000
2014-10-01,194.350006,177798000
2014-10-02,194.380005,157285000
