"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2023","43.77","42.93","44.16","42.24","2.93M","308.68%"
"03/06/2023","10.71","10.81","10.86","10.68","8.33M","-1.74%"
"03/03/2023","10.90","11.10","11.16","10.86","10.87M","-2.85%"
"03/02/2023","11.22","11.86","11.88","11.22","9.13M","-3.69%"
"03/01/2023","11.65","11.61","11.92","11.43","9.49M","0.95%"
"02/28/2023","11.54","11.78","11.79","11.42","6.83M","-2.04%"
"02/27/2023","11.78","11.95","11.95","11.67","9.06M","-3.84%"
"02/24/2023","12.25","12.24","12.55","12.15","12.77M","3.90%"
"02/23/2023","11.79","11.96","12.35","11.72","11.37M","-3.52%"
"02/22/2023","12.22","12.63","12.77","12.14","11.09M","-2.86%"
"02/21/2023","12.58","12.24","12.68","12.08","12.88M","7.80%"
"02/17/2023","11.67","11.87","12.14","11.65","11.68M","-0.09%"
"02/16/2023","11.68","11.39","11.68","11.14","13.76M","5.51%"
"02/15/2023","11.07","11.33","11.36","11.06","6.91M","-2.04%"
"02/14/2023","11.30","11.55","11.72","11.15","10.20M","-3.34%"
"02/13/2023","11.69","11.99","12.04","11.68","7.12M","-3.94%"
"02/10/2023","12.17","12.24","12.49","12.06","10.53M","1.16%"
"02/09/2023","12.03","11.45","12.08","11.35","9.37M","3.17%"
"02/08/2023","11.66","11.37","11.88","11.20","9.49M","3.74%"
"02/07/2023","11.24","11.69","11.71","11.14","8.66M","-3.10%"
"02/06/2023","11.60","11.47","11.65","11.36","6.07M","2.47%"
"02/03/2023","11.32","11.54","11.72","11.19","11.48M","0.98%"
"02/02/2023","11.21","10.72","11.53","10.64","12.58M","2.09%"
"02/01/2023","10.98","11.29","11.58","10.85","10.46M","-3.00%"
"01/31/2023","11.32","11.59","11.67","11.23","6.75M","-2.25%"
"01/30/2023","11.58","11.57","11.80","11.48","9.21M","2.48%"
"01/27/2023","11.30","11.50","11.50","11.06","9.46M","-1.31%"
"01/26/2023","11.45","11.49","11.73","11.40","7.94M","-1.55%"
"01/25/2023","11.63","11.99","12.35","11.57","11.58M","0.17%"
"01/24/2023","11.61","12.14","12.17","11.56","8.40M","-3.89%"
"01/23/2023","12.08","12.17","12.26","12.01","6.98M","-0.74%"
"01/20/2023","12.17","12.51","12.65","12.11","8.38M","-3.57%"
"01/19/2023","12.62","12.88","13.04","12.44","10.54M","0.56%"
"01/18/2023","12.55","12.00","12.64","11.92","11.38M","3.55%"
"01/17/2023","12.12","12.21","12.32","12.01","6.83M","0.83%"
"01/13/2023","12.02","12.42","12.42","11.91","9.58M","-2.51%"
"01/12/2023","12.33","12.72","12.90","12.31","10.62M","-4.93%"
"01/11/2023","12.97","12.82","13.04","12.81","6.47M","0.46%"
