Id,Start,Name,Impact,Currency
5eb8c082-f21f-48cf-97ee-6deeef147743,01/03/2014 19:30:00,Former Fed's Chair Bernanke speech,HIGH,USD
772b7026-8faf-4daa-a1d6-09f73e8b8bc8,01/06/2014 15:00:00,ISM Services PMI,HIGH,USD
9baa22c0-ec0f-408a-83d6-f15402804ea5,01/06/2014 22:30:00,Fed Chairman Nomination Vote,HIGH,USD
21996eee-50f9-4449-9e63-ca90b527e1d3,01/08/2014 19:00:00,FOMC Minutes,HIGH,USD
0c37fc76-b9d5-46e2-9030-32f6d5e4dc51,01/10/2014 13:30:00,Nonfarm Payrolls,HIGH,USD
27cfc270-278d-43ec-aa4b-56a03440d4fa,01/10/2014 13:30:00,Unemployment Rate,HIGH,USD
fb669aa7-66a8-4630-8681-dd3c552bdbf9,01/16/2014 13:30:00,Consumer Price Index (YoY),HIGH,USD
cbf32582-0785-4bfe-99f3-d18dc9fd11d0,01/16/2014 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
0c5e10a0-1725-44bd-8e7b-967ffde2647d,01/16/2014 16:10:00,Former Fed's Chair Bernanke speech,HIGH,USD
09ac8734-f818-40d8-ab40-68b791014ff8,01/28/2014 13:30:00,Durable Goods Orders,HIGH,USD
c50e78a2-35d6-49fd-a860-e8f1c6381fca,01/29/2014 19:00:00,Fed Interest Rate Decision,HIGH,USD
b1951139-eb06-44dd-8abd-a1ef6a8d518e,01/29/2014 19:00:00,Fed Pace of MBS Purchase Program,HIGH,USD
8f2af8d9-994d-4c77-8366-1777bf974df0,01/29/2014 19:00:00,Fed Pace of Treasury Purchase Program,HIGH,USD
9b59be11-95ad-4d84-8ca1-c1b1925a37c0,01/30/2014 13:30:00,Gross Domestic Product Annualized,HIGH,USD
87ae736d-35ba-4058-be01-9934996077a0,01/30/2014 13:30:00,Gross Domestic Product Price Index,HIGH,USD
d2380c85-653e-4df9-825c-d678da005b12,02/07/2014 13:30:00,Nonfarm Payrolls,HIGH,USD
a193b02c-f3ee-49af-af7a-f0c1aec5bfae,02/07/2014 13:30:00,Unemployment Rate,HIGH,USD
8a9fcabe-854c-487c-9147-316ca5d81df8,02/11/2014 15:00:00,Fed's Chair Yellen speech,HIGH,USD
9f1cfb59-6aef-40be-9465-d54a68eea3de,02/19/2014 19:00:00,FOMC Minutes,HIGH,USD
51a1e117-a096-4ab9-9ded-28daddc7a670,02/20/2014 13:30:00,Consumer Price Index (YoY),HIGH,USD
afa31e62-7973-4596-9b18-e2cf50b6bacd,02/20/2014 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
31226d24-f8cb-41e9-b6e1-08793e1b7091,02/27/2014 13:30:00,Durable Goods Orders,HIGH,USD
02b48e11-2b8f-4973-a68e-3409287b016f,02/27/2014 15:00:00,Fed's Chair Yellen speech,HIGH,USD
39f0b436-44bb-4620-909f-6270f215b75a,02/28/2014 13:30:00,Gross Domestic Product Annualized,HIGH,USD
5f865923-0219-4e39-af52-d24bd954aa12,03/03/2014 15:00:00,ISM Manufacturing PMI,HIGH,USD
88c524a3-4eb7-4cfc-ae39-e6e0bd22fbef,03/05/2014 15:00:00,ISM Services PMI,HIGH,USD
651ba543-4e9d-4d63-8c2e-703f57ef2d3f,03/07/2014 13:30:00,Nonfarm Payrolls,HIGH,USD
51aa6a08-4f10-4df4-ac4e-a9207b25953a,03/07/2014 13:30:00,Unemployment Rate,HIGH,USD
11f5f3a2-6a41-4857-ba4f-4fdadfd68951,03/17/2014 14:45:00,Barack Obama Press Conference,HIGH,USD
