,MSE,DA,Up Acc,Down Acc,Tot Significant
"(0, 0, 0)",0.009180789,0.504520796,0.461538462,0.814814815,66
"(0, 0, 1)",0.009271351,0.514767932,0.5,0.821428571,70
"(0, 0, 2)",0.009371539,0.493670886,0.468085106,0.764705882,81
"(0, 1, 0)",0.014551447,0.510548523,0.448888889,0.534482759,399
"(0, 1, 1)",0.012872582,0.502712477,0.425,0.592920354,273
"(0, 1, 2)",0.011712493,0.488848704,0.443478261,0.623529412,200
"(0, 2, 0)",0.036930578,0.496081977,0.442764579,0.551440329,949
"(0, 2, 1)",0.021246009,0.503918023,0.434931507,0.589655172,582
"(0, 2, 2)",0.034098875,0.495479204,0.446469248,0.542918455,905
"(1, 0, 0)",0.009305614,0.510548523,0.512195122,0.785714286,69
"(1, 0, 1)",0.009674577,0.510548523,0.510204082,0.766666667,79
"(1, 0, 2)",0.00963742,0.500904159,0.469387755,0.75,85
"(1, 1, 0)",0.014042742,0.506329114,0.418719212,0.55704698,352
"(1, 1, 1)",0.01440492,0.491862568,0.454022989,0.573333333,324
"(1, 1, 2)",0.012369654,0.48583484,0.457746479,0.587155963,251
"(1, 2, 0)",0.029700535,0.497890295,0.420792079,0.559493671,799
"(1, 2, 1)",0.026356313,0.502712477,0.417647059,0.565217391,662
"(1, 2, 2)",0.02853159,0.50331525,0.455223881,0.561038961,787
"(2, 0, 0)",0.009377502,0.499095841,0.431818182,0.777777778,80
"(2, 0, 1)",0.011113871,0.494876432,0.467741935,0.738095238,104
"(2, 0, 2)",0.010836982,0.506329114,0.507462687,0.693877551,116
"(2, 1, 0)",0.013034116,0.494876432,0.402439024,0.598360656,286
"(2, 1, 1)",0.012932473,0.487643159,0.410596026,0.579831933,270
"(2, 1, 2)",0.011770434,0.494876432,0.437086093,0.555555556,277
"(2, 2, 0)",0.024190452,0.50994575,0.432132964,0.549707602,703
"(2, 2, 1)",0.024631356,0.50331525,0.443425076,0.578014184,609
"(2, 2, 2)",0.023057845,0.497890295,0.442073171,0.558359621,645
"(4, 0, 4)",0.011393215,0.486437613,0.506024096,0.68852459,144
"(4, 0, 1)",0.00980021,0.508137432,0.4,0.704545455,99
"(0, 1, 3)",0.012077951,0.493068113,0.396694215,0.589473684,216
"(4, 2, 4)",0.026003387,0.502712477,0.422572178,0.561111111,741
"(2, 1, 3)",0.016357629,0.500301386,0.430463576,0.598214286,263
"(4, 2, 1)",0.018698277,0.491862568,0.435714286,0.56626506,529
"(3, 2, 1)",0.019749667,0.500904159,0.449044586,0.54379562,588
"(3, 2, 4)",0.027533583,0.512356841,0.448621554,0.557840617,788
"(3, 1, 2)",0.013631251,0.491862568,0.413043478,0.539877301,347
"(4, 1, 2)",0.013448384,0.502109705,0.430693069,0.556291391,353
"(0, 0, 4)",0.009911068,0.487040386,0.45,0.681818182,104
"(0, 2, 4)",0.034264302,0.489451477,0.448036952,0.550660793,887
"(1, 0, 4)",0.010073716,0.488848704,0.442857143,0.705882353,121
"(3, 0, 3)",0.010552974,0.499095841,0.426470588,0.714285714,124
"(1, 1, 3)",0.014380077,0.497890295,0.426470588,0.594339623,242
"(3, 0, 0)",0.009663481,0.493670886,0.444444444,0.736842105,83
"(4, 0, 0)",0.009798997,0.505123568,0.4,0.704545455,99
"(2, 2, 4)",0.025488927,0.505123568,0.419263456,0.529585799,691
"(4, 0, 3)",0.010520857,0.49005425,0.535714286,0.625,112
"(2, 0, 4)",0.010407337,0.487643159,0.391304348,0.642857143,125
"(4, 2, 0)",0.020673625,0.494876432,0.414860681,0.567010309,614
"(4, 2, 3)",0.027770036,0.493670886,0.428571429,0.583798883,743
"(1, 2, 4)",0.027438881,0.495479204,0.408963585,0.536111111,717
"(3, 1, 1)",0.01226997,0.484026522,0.406666667,0.605769231,254
"(3, 2, 0)",0.02181734,0.503918023,0.441260745,0.570093458,670
"(3, 1, 4)",0.014261509,0.506329114,0.452380952,0.548611111,312
"(3, 0, 1)",0.009661128,0.493670886,0.444444444,0.743589744,84
"(3, 2, 3)",0.029742934,0.499698614,0.45923913,0.555555556,710
"(0, 0, 3)",0.009692011,0.492465341,0.431372549,0.7,91
"(4, 1, 4)",0.014459029,0.512959614,0.448275862,0.544117647,310
"(4, 1, 1)",0.012170868,0.49668475,0.409722222,0.601941748,247
"(0, 2, 3)",0.025600167,0.494273659,0.42776204,0.537313433,688
"(3, 0, 2)",0.012068618,0.497287523,0.434782609,0.727272727,113
"(1, 0, 3)",0.011016423,0.49005425,0.428571429,0.697674419,99
"(4, 0, 2)",0.010290843,0.498493068,0.462962963,0.666666667,96
"(2, 0, 3)",0.009973062,0.493068113,0.396825397,0.644444444,108
"(2, 1, 4)",0.013491383,0.506931887,0.438709677,0.566666667,275
"(4, 2, 2)",0.025072558,0.500301386,0.427350427,0.574675325,659
"(2, 2, 3)",0.025855601,0.508137432,0.462765957,0.543661972,731
"(0, 1, 4)",0.012870879,0.495479204,0.431506849,0.564102564,263
"(3, 1, 3)",0.015394627,0.501506932,0.423469388,0.547297297,344
"(3, 2, 2)",0.03162478,0.499698614,0.465564738,0.545180723,695
"(1, 2, 3)",0.024286866,0.488848704,0.408450704,0.549848943,686
"(3, 1, 0)",0.012472241,0.485232068,0.386503067,0.594594595,274
"(4, 1, 0)",0.012284546,0.488848704,0.393103448,0.601769912,258
"(4, 1, 3)",0.018937812,0.50331525,0.446902655,0.532967033,408
"(1, 1, 4)",0.013081959,0.499095841,0.424836601,0.566371681,266
"(3, 0, 4)",0.010166516,0.48583484,0.478873239,0.64,121
